Tool(s),amd64 ,aarch64
kataistruct,✅  ,✅
unicorn,✅  ,✅  
keystone,✅  ,✅  
radare2,✅  ,✅  
ghidra,✅  ,✅  
binwalk,✅  ,✅  
cutter,❌,❌
