Tool(s),amd64 ,aarch64
Can-utils,✅  ,✅
Cantact tools,✅  ,✅  
caringcaribou,✅  ,✅  
savvycan,✅  ,✅  
gallia,✅  ,✅  
V2G Injector,✅  ,✅  
