Tool(s),amd64 ,aarch64
All tools from SDR light,,
yatebts,✅  ,✅
OpenBTS,✅  ,❌ (need tests with other compiler)
OpenBTS UMTS,✅  ,❌ (need to fix ASN part)
"srsRAN 4G, 5G NSA",✅  ,✅  
srsRAN 5G SA,✅  ,✅  
pycrate,✅  ,✅  
Open5GS,✅  ,✅  
OsmoBTS suite (including OsmoPCU + OsmoSGSN and others),✅  ,✅ 
