Tool(s),amd64 ,aarch64
libiio and libad9361,✅  ,✅
Nuand tools and lib,✅  ,✅  
HackRF tools and lib,✅  ,✅  
Airspry tools and lib,✅  ,✅  
LimeSDR tools and lib,✅  ,✅  
